City,Country,Subcountry,Geonameid
Brockton,United States,Massachusetts,4931429
Brockville,Canada,Ontario,5909294
Brodnica,Poland,Kujawsko-Pomorskie,3102627
Brody,Ukraine,Lviv,711416
Broek in Waterland,Netherlands,North Holland,2758258
Broek op Langedijk,Netherlands,North Holland,2758245
Broken Arrow,United States,Oklahoma,4531405
Broken Hill,Australia,New South Wales,2173911
Bromma,Sweden,Stockholm,2719111
Bromsgrove,United Kingdom,England,2654579
Bron,France,Auvergne-Rhône-Alpes,3029931
Bronkhorstspruit,South Africa,Gauteng,1015504
Bronnitsy,Russia,MO,571557
Bronte,Italy,Sicily,2525498
Brook Park,United States,Ohio,5148326
Brookfield,United States,Illinois,4885689
Brookfield,United States,Wisconsin,5246835
Brookhaven,United States,Georgia,4184530
Brookings,United States,South Dakota,5226534
Brookline,United States,Massachusetts,4931482
Brooklyn,United States,New York,5110302
Brooklyn Center,United States,Minnesota,5019330
Brooklyn Park,United States,Minnesota,5019335
Broomfield,United States,Colorado,5415035
Brossard,Canada,Quebec,5909629
Brotas,Brazil,São Paulo,3468899
Brovary,Ukraine,Kiev,711390
Brownhills,United Kingdom,England,2654490
Brownsburg,United States,Indiana,4255056
Brownsville,United States,Florida,4149077
Brownsville,United States,Texas,4676740
Brownwood,United States,Texas,4676798
Bruchsal,Germany,Baden-Württemberg,2943560
Brugge,Belgium,Flanders,2800931
Brugherio,Italy,Lombardy,3181495
Brumadinho,Brazil,Minas Gerais,3468894
Brumado,Brazil,Bahia,3468893
Brummen,Netherlands,Gelderland,2758177
Brunoy,France,Île-de-France,3029748
Brunssum,Netherlands,Limburg,2758174
Brunswick,Australia,Victoria,2173741
Brunswick,United States,Georgia,4184845
Brunswick,United States,Maine,4959473
Brunswick,United States,Ohio,5148480
Brusciano,Italy,Campania,3181471
Brushy Creek,United States,Texas,4676920
Brusque,Brazil,Santa Catarina,3468879
Brussels,Belgium,Brussels Capital,2800866
Brvenica,Macedonia,Brvenica,792227
Bryan,United States,Texas,4677008
Bryanka,Ukraine,Luhansk,711369
Bryansk,Russia,Brjansk,571476
Bryant,United States,Arkansas,4103448
Brymbo,United Kingdom,Wales,2654450
Bryn Mawr-Skyway,United States,Washington,7260966
Bry-sur-Marne,France,Île-de-France,3029706
Bryukhovetskaya,Russia,Krasnodarskiy,571420
Brzeg,Poland,Opole Voivodeship,3102459
Brzesko,Poland,Lesser Poland Voivodeship,775183
Bua Yai,Thailand,Nakhon Ratchasima,1611492
Buaran,Indonesia,Central Java,1647991
Bucak,Turkey,Burdur,320533
Bucaramanga,Colombia,Santander,3688465
Bucha,Ukraine,Kiev,711350
Buchanan,Liberia,Grand Bassa,2278158
Bucharest,Romania,Bucureşti,683506
Buchen,Germany,Baden-Württemberg,2942634
Bucheon-si,South Korea,Gyeonggi-do,1838716
Buchholz in der Nordheide,Germany,Lower Saxony,2942323
Buckeye,United States,Arizona,5287262
Buckhaven,United Kingdom,Scotland,2654415
Buckley,United Kingdom,Wales,2654394
Buckow,Germany,Berlin,2942122
Budapest,Hungary,Budapest,3054643
Budaun,India,Uttar Pradesh,1275163
Buddh Gaya,India,Bihar,1275389
Buderim,Australia,Queensland,2173605
Budta,Philippines,Autonomous Region in Muslim Mindanao,1723510
Buduran,Indonesia,East Java,1647936
Budva,Montenegro,Budva,3203106
Buea,Cameroon,South-West Province,2233410
Buena Park,United States,California,5331575
Buenaventura,Colombia,Valle del Cauca,3688451
Buenaventura,Colombia,Valle del Cauca,3688452
Buenaventura Lakes,United States,Florida,4149269
Buenavista,Philippines,Caraga,1723481
Buenavista,Mexico,México,3827606
Buenos Aires,Argentina,Buenos Aires F.D.,3435910
Buerarema,Brazil,Bahia,3468858
Buffalo,United States,Minnesota,5019588
Buffalo,United States,New York,5110629
Buffalo Grove,United States,Illinois,4885955
Buftea,Romania,Ilfov,683394
Buga,Colombia,Valle del Cauca,3688256
Bugarama,Tanzania,Kagera,161023
Bugiri,Uganda,Eastern Region,234565
Bugo,Philippines,Northern Mindanao,1723257
Bugojno,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,3203099
Buguma,Nigeria,Rivers,2346615
Buguruslan,Russia,Orenburg,571159
Buhe,China,Hubei,1816221
Buhi,Philippines,Bicol,1723166
Buin,Chile,Santiago Metropolitan,3897774
Buinsk,Russia,Tatarstan,571155
Bujumbura,Burundi,Bujumbura Mairie,425378
Bukama,Democratic Republic of the Congo,Katanga,217834
Bukavu,Democratic Republic of the Congo,South Kivu,217831
Bukhara,Uzbekistan,Bukhara,1217662
Bukit Mertajam,Malaysia,Penang,1735079
Bukit Rambai,Malaysia,Melaka,1778290
Bukittinggi,Indonesia,West Sumatra,1647866
Bukoba,Tanzania,Kagera,160961
Bukuru,Nigeria,Plateau,2346561
Bulacan,Philippines,Central Luzon,1723066
Bulakamba,Indonesia,Central Java,1647834
Bulan,Philippines,Bicol,1722985
Bulancak,Turkey,Giresun,750317
Bulandshahr,India,Uttar Pradesh,1275120
Bulaon,Philippines,Central Luzon,1722930
Bulawayo,Zimbabwe,Bulawayo,894701
Bulgan,Mongolia,Bulgan,2032201
Bullhead City,United States,Arizona,5287565
Bulolo,Papua New Guinea,Morobe,2098869
Buluan,Philippines,Autonomous Region in Muslim Mindanao,1722818
Bulungu,Democratic Republic of the Congo,Bandundu,2316259
Bumba,Democratic Republic of the Congo,Équateur,217745
Bunawan,Philippines,Caraga,1722731
Bunbury,Australia,Western Australia,2075432
Bunda,Tanzania,Mara,160892
Bundaberg,Australia,Queensland,2173323
Bundibugyo,Uganda,Western Region,234178
Bundoora,Australia,Victoria,8349381
Bungoma,Kenya,Bungoma,200067
Bungo-Takada-shi,Japan,Oita,1851170
Bungu,Tanzania,Pwani,160877
Bunia,Democratic Republic of the Congo,Eastern Province,217695
Bunschoten,Netherlands,Utrecht,2758104
Burao,Somalia,Togdheer,63795
Buraydah,Saudi Arabia,Al-Qassim,107304
Burbank,United States,Illinois,4885983
Burbank,United States,California,5331835
Burdur,Turkey,Burdur,320392
Burg bei Magdeburg,Germany,Saxony-Anhalt,2941501
Burg Unter-Falkenstein,Germany,Bavaria,8378906
Burgas,Bulgaria,Burgas,732770
Burgdorf,Germany,Lower Saxony,2941405
Burgess Hill,United Kingdom,England,2654308
Burghausen,Germany,Bavaria,2941279
Burgos,Philippines,Central Luzon,1722433
Burgos,Spain,Castille and León,3127461
Burhaniye,Turkey,Balıkesir,320369
Burhar,India,Madhya Pradesh,1275066
Buri,Brazil,São Paulo,3468802
Burien,United States,Washington,5788516
Buriram,Thailand,Buriram,1611453
Buriti Bravo,Brazil,Maranhão,3404722
Buritis,Brazil,Minas Gerais,3468732
Buritizeiro,Brazil,Minas Gerais,3468720
Burjassot,Spain,Valencia,2520712
Burla,India,Odisha,1275050
Burlata,Spain,Navarre,3127451
Burleson,United States,Texas,4677551
Burlingame,United States,California,5331920
Burlington,United States,Kentucky,4286281
Burlington,United States,North Carolina,4458228
Burlington,United States,Iowa,4849826
Burlington,United States,Massachusetts,4931737
Burlington,United States,Vermont,5234372
Burlington,Canada,Ontario,5911592
Burnaby,Canada,British Columbia,5911606
Burnham-on-Sea,United Kingdom,England,2654269
Burnie,Australia,Tasmania,2173125
Burnley,United Kingdom,England,2654264
Burnsville,United States,Minnesota,5019767
Burntwood,United Kingdom,England,2654252
Burrel,Albania,Dibër,783493
Burriana,Spain,Valencia,2520709
Bursa,Turkey,Bursa,750269
Burscheid,Germany,North Rhine-Westphalia,2940942
Burton,United States,Michigan,4987482
Burton upon Trent,United Kingdom,England,2654200
Burunday,Kazakhstan,Almaty Oblysy,1524958
Bururi,Burundi,Bururi,423328
Burutu,Nigeria,Delta,2346317
Bury,United Kingdom,England,2654187
Bury St Edmunds,United Kingdom,England,2654186
Busan,South Korea,Busan,1838524
Busembatia,Uganda,Eastern Region,234092
Buseresere,Tanzania,Geita,160833
Bushey,United Kingdom,England,2654179
Busia,Kenya,Busia,199989
Busia,Uganda,Eastern Region,234077
Businga,Democratic Republic of the Congo,Équateur,217637
Businovo,Russia,Moscow,570636
Busselton,Australia,Western Australia,2075265
Bussolengo,Italy,Veneto,3181359
Bussum,Netherlands,North Holland,2758064
Busto Arsizio,Italy,Lombardy,3181355
Bustos,Philippines,Central Luzon,1722267
Buta,Democratic Republic of the Congo,Eastern Province,217570
Butare,Rwanda,Southern Province,203112
Butel,Macedonia,Butel,833260
Butembo,Democratic Republic of the Congo,Nord Kivu,217562
Butha-Buthe,Lesotho,Butha-Buthe,932886
Butiama,Tanzania,Mara,160798
Butte,United States,Montana,5642934
Butterworth,South Africa,Eastern Cape,1014489
Butterworth,Malaysia,Penang,1735076
Butte-Silver Bow (Balance),United States,Montana,7172886
Butuan,Philippines,Caraga,1722186
Buturlinovka,Russia,Voronezj,570563
Butzbach,Germany,Hesse,2940512
Buulobarde,Somalia,Hiiraan,63689
Buurhakaba,Somalia,Bay,63571
Buwenge,Uganda,Eastern Region,233886
Buxar,India,Bihar,1275019
Buxtehude,Germany,Lower Saxony,2940451
Buxton,United Kingdom,England,2654141
Buy,Russia,Kostroma,570508
Buynaksk,Russia,Dagestan,570479
Buzen,Japan,Fukuoka,8198709
Buzovna,Azerbaijan,Baki,586925
Buzuluk,Russia,Orenburg,570427
Bwizibwera,Uganda,Western Region,233730
Byaroza,Belarus,Brest,629454
Bydgoszcz,Poland,Kujawsko-Pomorskie,3102014
Bykhaw,Belarus,Mogilev,629447
Byndoor,India,Karnataka,1277759
Bytom,Poland,Silesian Voivodeship,3101950
Byumba,Rwanda,Northern Province,203104
